,content,Pro Trump,Pro Biden,Neutral,one_hot_labels,sarcasm_labels
259,"NO LONGER A TWITTER FAN 🇺🇲🇺🇲🇺🇲

THATS IT I AM NO LONGER A TWITTER FAN 😡😡😡. I HAVE BEEN A FAN FOR 14 YEARS BUT NO MORE. THIS SUSPENSION OF TRUMP🇺🇲🇺🇲🇺🇲 IS THE END OF FREE SPEECH. IM TAKING MY TALENTS TO MINDS WHERE THEY KNOW HOW TO RUN A SOCIAL MEDIA PLATFORM.😡😡",0,0,1,[0 0 1],regular
260,🔴 #Elecciones2020  Donald Trump https://t.co/CCZwm9ljae,0,0,1,[0 0 1],regular
261,"@Kells43993003 The key ‘evidence’ was presented as from Michigan when actually it was from Minnesota (in areas where turnout is always high and most vote for Trump) 
The ‘evidence’ was based on flawed / misrepresented data. 
But you should subscribe and read the article.",0,0,1,[0 0 1],regular
262,Happy #Trump2020 tuesday! https://t.co/MpwdX6Q0Mp,1,0,0,[1 0 0],regular
263,The world has seen a deadly weapon at play! It’s called a vote. Welcome #bidenharis2020 #ByeByeTrump,0,1,0,[0 1 0],regular
264,YOU ALL CAN SEE IF PEOPLE REALLY WANT CHANGE ‼ President Biden #AmericaDecides2020 #Biden #JoeBiden https://t.co/aNS00K8NVL,0,1,0,[0 1 0],regular
265,Sanjeev Sanyal has forgotten @BDUTT did go to cover the Hillary-Trump election. This year we were hoping her former colleague of #NDTV will cover #USElection2020,0,0,1,[0 0 1],regular
266,"@gstopthesteal @Peoples_Pundit NV still in play. That aside though hereâ€™s the deal, from some reading Iâ€™ve done.... PA contravened the US constitution when they unilaterally rewrote the law to: 1. Allow ballots to arrive after 8PM on Election Day and 2. Unpostmarked ballots to be counted as long as they....",0,0,1,[0 0 1],regular
267,"#prayForBiden
#BlueWave2020
ENOUGH IS ENOUGH
WE HAVE HAD FOUR YEARS OF RAGE &amp; Anxiety since Trump was elected
#VoteHimOut https://t.co/rlwBO62fpe",0,1,0,[0 1 0],regular
268,@merrickdeville Uh-oh rhyming couplets! Think they’ve got us there-damn! Guess we’d better just give up and get some of those natty #MAGA red caps? AND A LOBOTOMY,1,0,0,[1 0 0],regular
269,#JoeBiden #PresidentElect Main challenge will be to #MakeAmericaGreatAgain after 4 years of #Trump,0,1,0,[0 1 0],regular
270,"President-elect Joe Biden taps Gina McCarthy, former EPA chief, for top domestic climate job https://t.co/Lh7oWce33Y via @BostonDotCom",0,0,1,[0 0 1],regular
271,#PrayForBarda #Trump #macron20h #Pasinyan  Look at to genocide https://t.co/Ro9aqKQEZv,0,0,1,[0 0 1],regular
272,"Palestinian President Mahmoud Abbas congratulated #Biden and said he will stop the boycott of the US.

It is still not clear to me how a place that produces nothing can boycott the most powerful country in the world. The US couldn't care less. https://t.co/tGleu7PL1K",0,1,0,[0 1 0],regular
273,"@nowthisnews They just make up sh*t as they go, and too bad if it's absolute, out-of-space science fiction!
Can't wait for the White House toilet to be flushed once and for all!!
#TrumpLies #FoxLies #MAGAtsLie https://t.co/jFlQwtfAJM",0,1,0,[0 1 0],regular
274,"We would like to offer our most sincere wishes for a successful term as President &amp; Vice President of United States.Your decisive victory is a personal triumph and an historic achievement.
#TeamBiden #Btthanka #BidenHarris2020 https://t.co/3OfNCLglFf",0,1,0,[0 1 0],regular
275,"@JoeBiden CONGRATULATIONS FROM MEXICO,MEXICO IS HAPPY,AMLO IS NOT MEXICO",0,1,0,[0 1 0],regular
276,Ahhh... the irony... #ByeByeTrump https://t.co/ODh1DvMGZO,0,1,0,[0 1 0],sarcasm
277,"One of them is better for the USA, but both of them are equally the same for the Middle East.
 #Biden #trump #Elections2020 ðŸ‡ºðŸ‡¸",0,0,1,[0 0 1],regular
278,@KamalaHarris @JoeBiden All around the world we hope for a better presidency with Biden&amp;Haris. Good luck,0,1,0,[0 1 0],regular
279,"Is the meaning of @realDonaldTrump #MakeAmericaGreatAgain is equivalent of replacing evidence, facts and reality with lies and paranoia. If it is so, then shame on us that the rest of the #worldleaders are accepting it.",0,1,0,[0 1 0],regular
280,"And we've taken the LEAD @JoeBiden

 Ciao amigo @realDonaldTrump
#USAelection2020 https://t.co/xoNeL0UXaQ",0,1,0,[0 1 0],regular
281,"@ianrobo1 @IlCobra21 Putin, for all his ills (and there are a great many), has put forward a Russia of all creeds and colours and ethnicities. Navalny is a racist, homophobe, islamophobe. @IlCobra21 not sure if Trump benefits, but Russia certainly doesn't.",0,0,1,[0 0 1],regular
282,"@miriamleitao @GalCosta Is it a call in favor of the #Election2020 ? If affirmative, the American people gained it and not the Brazilians! The Brazilians has to do the same! Brazil elected the tropical #Trump in 2018 observing the destructive politics since than two years. #Brazil , stand up!",0,0,1,[0 0 1],regular
283,@JoeBiden And after that- come to Israel to do the same....,0,1,0,[0 1 0],regular
284,"#ByeByeTrump and Mr. President #JoeBiden Welcome on board Air Force One,sir.🙂 https://t.co/b843AQdKcQ",0,1,0,[0 1 0],regular
285,"@serenePS @kennethcolereal @AndrewYang @realDonaldTrump @JoeBiden @KamalaHarris Learn about the  #HunterBidenEMails then delete your nasty Democrat Loving tweets, and throw your support towards @realDonaldTrump #Trump2020 @TomiLahren is amazing. @FoxNews",1,0,0,[1 0 0],regular
286,"A man that de- escalated the tension with North Korea, pulled out of the war in Afghanistan &amp; is brokering peace in the middle east between Israel &amp; her neighbours and you call him a war monger. Let's look for better reasons to hang the dog. Vote Trump  #MAGA #KAGA2020 https://t.co/PdMX216OYi",1,0,0,[1 0 0],regular
287,@taynacomacent @danrebth Parece o Donald trump ☠️,0,1,0,[0 1 0],regular
288,@heckyessica So happy to hear your comment that you like #Trump in a #Chicken Suit 👍 My Little #PutinsPuppet this is how I think of him. Chicken for #Amerika and doing whatever his Pootie #Putin tells him to do for #Russia. Best sleepy agent ever for the Motherland !,0,0,1,[0 0 1],regular
289,"@jenlacanlale @MeidasTouch @realDonaldTrump Uhm, the entire world is laughing at him. Confirmed. Also, Trump's a 'he', not a 'He' if you have any respect for God whose name you like to throw around Twitter. Lol. God.",0,1,0,[0 1 0],regular
290,The Observer view on Donald Trump and the murder of Iran’s leading nuclear scientist | Observer editorial https://t.co/ZG0ZQIQ8ry,0,0,1,[0 0 1],regular
291,President-Elect Joe Bidenâ€™s Dedication to Trains Could Transform Domestic Travel https://t.co/AaDKOcD7dD via @CNTraveler,0,0,1,[0 0 1],regular
292,"@DonaldJTrumpJr @realDonaldTrump But there are only Evangelism sis!!!
Every Religione?!",0,0,1,[0 0 1],regular
293,"now i understand why the bolsonaro likes trump all so much flour from the same sack wiping the virus and always accusing china

#cnn
#GloboNews 
#biden
#EUA",0,0,1,[0 0 1],regular
294,@SkyNews @KayBurley is just a horrible horrible bitter wee woman. Moaning about @realDonaldTrump saying votes have to stop now instead of days later. This has been everywhere for months now so why wait till the final day of polling to post your mail in ballot paper. 😡 #TeamTrump,1,0,0,[1 0 0],regular
295,Melania 'counting time until divorce' when Donald leaves White House https://t.co/utlCrfijbk #DonaldTrump #FireTheTrumpRegime #USElectionResults2020 #USElection #DonaldTrumpIsOverParty #DonaldJTrump #JoeBiden #JoeBidenKamalaHarris2020 #JOEBIDEN2020 #USElections,0,1,0,[0 1 0],regular
296,"President Trump had massive leads before counting was paused for the night. We wake up to Biden getting over 138,000 votes to Trumps ZERO in Michigan. Itâ€™s not hard to see whatâ€™s going on here. #trump2020 #trumptrain",1,0,0,[1 0 0],regular
297,President Donald J Trump is the rightful re elected President of the USA Joe Biden is the falsely Media President Elect https://t.co/pEz9tpSSzR,1,0,0,[1 0 0],regular
298,"@cronenyc @ladalavara @realDonaldTrump @OANN So now the Chinese virus is Trump's fault?
Once again conservatives are being blamed for the crimes of communism.",1,0,0,[1 0 0],regular
299,Please show me were this is stated. Just like trumps statements. FALSE! https://t.co/3yOCoXO2KZ,0,0,1,[0 0 1],sarcasm
300,"vote by vote box by box 👨🏻‍⚖️

#CrowderElectionStream #2020Elections #Biden2020 #GoVote #AmericaDecides2020 #Trump2020 #Elecciones2020",0,0,1,[0 0 1],regular
301,@JoeBiden @KamalaHarris After 4 ys of Thanos and Tyranny finally we have #BIDEN like an Avenger.,0,1,0,[0 1 0],regular
302,"@84_morpheus Well, I wish you the best in this then. Try to remember what your life was like in now and see how much better/worse it is under Biden. Try to have an open mind and lead with good/positive example. As always, treat others the way you would like to be treated. Be a beacon of hope",0,0,1,[0 0 1],regular
303,"No one with #Alzheimers should feel worried again! Time will prove whether #America will be great again or not... But it is surely an enemy of anyone with #AlzheimersDisease

 #Alzheimer #JoeBiden #ByeByeTrump",0,0,1,[0 0 1],regular
304,"If you want waves of terror attacks to rock the world again, then vote #BidenHarris2020 to continue Obama’s legacy of strengthening the Muslim Brotherhood, Turkey &amp; Iran.

Vote #Trump2020 to save America 🇺🇸",1,0,0,[1 0 0],regular
305,@reedgalen He is NOT going to make to #November3rd,0,0,1,[0 0 1],regular
306,@JoeBiden We love You #Brasil #fuckTrump #FuckBolsonaro @realDonaldTrump @jairbolsonaro 🇧🇷🇧🇷🇧🇷,0,1,0,[0 1 0],regular
307,@ginadivittorio @yourparade Live footage of Donald Trump https://t.co/U8BvfszT4P,0,0,1,[0 0 1],regular
308,"@IvankaTrump @kayleighmcenany @realDonaldTrump Sympathetic . Far better candidate than #Biden . But , #COVID19 will be the ' downfall ' More empathy and leading by example was required 
#ElectionDay",1,0,0,[1 0 0],regular
309,Donald Trump Obrador #Election2020,0,0,1,[0 0 1],regular
310,@EconDemocracy1 I missed that — which interview was it? I would love to watch!! #MyPresident,0,0,1,[0 0 1],regular
311,@JoeBiden You are a joke 8 years doing nothing now you are the magic salvation wake up,1,0,0,[1 0 0],regular
312,"Trump And Biden's Wordly Tussle Regarding Lockdowns

#breaking #Breakingnews #covid19 #trump #biden #uselections #cloutnews https://t.co/bClN5jQ2lu",0,0,1,[0 0 1],regular
313,Why cant trump go inside The White House? Because its FOR-BIDEN #46thPresident #bidenharis2020 #ByeByeTrump,0,1,0,[0 1 0],regular
314,Trump vs biden infinity war,0,0,1,[0 0 1],regular
315,"Yes!!!!: Biden prioritizes climate crisis by naming John Kerry special envoy.
https://t.co/hvn4KTLbm0

via @GoogleNews",0,1,0,[0 1 0],regular
316,Biden to pick Mass. General's infectious diseases chief Rochelle Walensky to lead CDC https://t.co/I6aRdyhI9a via @BostonDotCom,0,0,1,[0 0 1],regular
317,"@XSheXWillX @sanaonline__ @realDonaldTrump You are wrong, darling, Trump is the right person for the United States and Iran, the one who brings the United States and Iran to their original position.",1,0,0,[1 0 0],regular
318,"#US #USElections
""Nobody â€“ no politician, no elected official â€“ should limit the peopleâ€™s right to vote. ...Baseless allegations of systematic deficiencies, notably by the incumbent President, including on election night, harm public trust in democratic institutionsâ€: @osce_odihr https://t.co/LfbgYkPKHW",0,1,0,[0 1 0],regular
319,"1. As the world holds its breath awaiting the results of the #USElection2020, I want to take the opportunity to thank @BernieSanders.

Thank you, sir, for being an inspiration for so many of us.

#Elections2020 #ElectionNight #Trump #Biden #Harris #BernieSanders #Bernie https://t.co/K5vGcm1281",0,0,1,[0 0 1],regular
320,"@JoeBiden @V1KRobDebrosse @DrBiden In trump we trust
Divide the people isnt way to win.
Your are not our world president
Even if my master said it to me",1,0,0,[1 0 0],regular
321,@JoeBiden The bad guy Trump will go.  You will win.,0,1,0,[0 1 0],regular
322,@realDonaldTrump Lots of love and support all the way from Israel 🇮🇱❤🇺🇸 #MAGA https://t.co/pkIkPozvdS,1,0,0,[1 0 0],regular
323,#Biden 46th President United States of America ðŸ‡ºðŸ‡¸ . Just elected right now #Election2020results https://t.co/gVI9ehezLc,0,0,1,[0 0 1],regular
324,I have watched for almost For straight years how the news networks and social media were disrespecting President Donald J. Trump. They never gave him peace to govern the country. They hate President Donald J. Trump. Attack against the President is an attack against the nation,1,0,0,[1 0 0],regular
325,@JoeBiden Congratulation!!!,0,1,0,[0 1 0],regular
326,"#ElectionDay2020 #ElectionResults2020 #ByeByeTrump if Joe will be the president, I’ll consider renew my travel visa to the United States, take a ride to the no.1 high way and respect the people the once-upon “non-trump” time American spirit.",0,1,0,[0 1 0],regular
327,"Georgia recount confirms #Biden won. Mr.Trump move on , don't embarrass yourself.

This is not the time for power mongering , there are record high cases every day in US. 

Europe has reduction in numbers and India 1/3rd size and 3x population is doing better #USElectionResults",0,1,0,[0 1 0],regular
328,"Vote today for  @realDonaldTrump
Vote to stop Chinese-Sorosian globalization.
#Trump2020 https://t.co/Mpb7sM9pwZ",1,0,0,[1 0 0],regular
329,Biden takes it! I knew America would come to its senses. Ok I wasnâ€™t totally sure but most people are good :) #dumptrump #biden/harris #history #blm #metoo #lgbtq #immigrants #environment #winners #gbusa https://t.co/yfIGYZ7vhx,0,1,0,[0 1 0],regular
330,World to America: Welcome back! https://t.co/a2i3R3y6lI @JoeBiden #america #biden,0,1,0,[0 1 0],regular
331,@ge0rgiasc0tt Can't imagine they are chomping at the bit to vote #Biden or #Trump ? 🙄 #ElectionDay,0,0,1,[0 0 1],regular
332,"The world artistic class is a bad joke!  It is shameful the support that Joe Biden receives from these hypocrites!

#MAGA2020 #MAGA #TRUMP2020ToSaveAmerica",1,0,0,[1 0 0],regular
333,"ðŸ‡ºðŸ‡¸ Some of the most prominent #privacy, civil rights and #consumer organizations in the #US have worked together to develop a proposal regarding privacy and #digitalrights for #Biden administration.

Lots of challenging suggestions and ideas.

https://t.co/0wqL4CPVoO",0,0,1,[0 0 1],regular
334,"Trump nesse momento!
#ByeByeTrump 
#EleicoesnosEUA 
#BolsonaroEoProximo https://t.co/j7s3KT84N3",0,1,0,[0 1 0],regular
335,@jilevin @JoeBiden is a fraud.,1,0,0,[1 0 0],regular
336,"Everyone must tweet what 
@realDonaldTrump
 did before getting suppressed by Twitter. Copy and paste his tweet: 

Trump: ""We are up BIG, but they are trying to STEAL the Election. We will never let them do it. Votes cannot be cast after the Polls are closed!""
#MAGA",1,0,0,[1 0 0],regular
337,"Biden : Hey Donald 
Trump  : yes Joe.🤔
Biden :  What's the white house wifi password 🤣 https://t.co/8UeGb8CIN0",0,0,1,[0 0 1],regular
338,"Rubio and Graham. There are no bigger #hypocrites. Oh wait, Cruz... you carry this forever. It follows you into mediocrity and onward into obscurity. #NovemberIsComing https://t.co/NHuBTyES46",0,0,1,[0 0 1],regular
339,But the Democrats did not realize that President Trump.made an Executive order National executive emergency order in 2020  for the Elections because of COVID-19 Which blocks a Joe Biden presidency according to the US Constitution if there is a Fraudelent US Presidential Election https://t.co/uneHtgT8Dj,1,0,0,[1 0 0],regular
340,"@realDonaldTrump 

Mr. Trump, Be smart, admit your defeat. The new President of the United States of America is Mr. Joe Biden, he will be the new resident of the White House. Admit it please. https://t.co/VArFkucxSA",0,1,0,[0 1 0],regular
341,"USA election 2020.Who can win and what india wants? 🧐
Click below to watch 👇
https://t.co/yw3Edw92rU #USElections2020 #Debates2020 #DonaldTrump #JoeBiden #USA #india",0,0,1,[0 0 1],regular
342,These elections feel like the last episode of 2020 ! #vote #VoteTrumpOut,0,1,0,[0 1 0],regular
343,@realDonaldTrump TRUMP 2020 #MAGA,1,0,0,[1 0 0],regular
344,"I prsnly didn’t like dis trend #ByeByeTrump. As #DonaldTrump ,der ws some1 who ws so courageous dat he pin point China drctly without thkng of post consequences on covid. #JoeBiden via his son has deep business profits wid https://t.co/sjdXP92qcN wat india shld expect from him👎 https://t.co/antkW7WyV1",1,0,0,[1 0 0],regular
345,#Biden better be writing plans about this and start implementing CHANGE on the VERY FIRST DAY!!! https://t.co/1aJUDt8hTJ,0,1,0,[0 1 0],regular
346,@JoeBiden congratulations Mr. Biden &amp; please help Iranian people with human right .,0,1,0,[0 1 0],regular
347,"""At least seven supporters were hospitalized, 30 were treated for exposure to cold, seizures, other ailments."" Trump leaves his elderly MAGA fans to freeze in Omaha... because he really cares about them. Perfect metaphor indeed!#Omahastranded https://t.co/lSVSDLX857",0,1,0,[0 1 0],regular
348,Tomorrow’s brilliant @dailystar. Thrilled to be sharing page one with a weird coloured monster. And Gunnersaurus. 😁🦖We always sellout on Wednesday so get your copy early.#columnist #Trump #buyapaper  Back on @talkRADIO with @mrmarkdolan #Drive tomorrow too. 😃 https://t.co/3N3FZ35lDH,0,0,1,[0 0 1],regular
349,@RahulEaswar Joe Biden has been in no way MODERATE. They have been Islamist apologists in the past. Did you know this fun fact by the way? #Trump2020 #MakeAmericaGreatAgain #JoeBidenKamalaHarris2020 https://t.co/FBkrpMPV2I,1,0,0,[1 0 0],regular
350,Did any rock star ever have a schedule like this? Any stand up comedian? #MAGA https://t.co/Ei5CeOrTFx,1,0,0,[1 0 0],regular
351,Did Joe Biden create the 'office of the president-elect'? Here's what you need to know https://t.co/8QHmI9zUYP,0,1,0,[0 1 0],regular
352,"#JohnLewis took the lead in #Georgia, the Honorable Joseph Robinette Biden Jr. simply is the name of the ballot. #eleccion2020",0,0,1,[0 0 1],regular
353,This is the essence of #maga and what @realDonaldTrump embrace for #america! #trump2020 https://t.co/WLqs4ZR2JE,1,0,0,[1 0 0],regular
354,"@BBCRadio4 very pro UK government, pro-brexit and anti #Biden news at 10am this morning. Easy to believe this is propaganda and not news. Surely News should be information - after all its called 'news' not political views.",0,0,1,[0 0 1],regular
355,"Fitness is like a relationship you can’t cheat and expect it to work”
#WorldMentalHealthDay #VoteBlueToSaveAmerica #FITNESS #gymmotivtion https://t.co/7iwX0izhve",0,0,1,[0 0 1],regular
356,"@Faith_Salie Much better messaging, because we know you really DO care....about sending the right message! ;) #rallyingcry #NovemberIsComing",0,0,1,[0 0 1],regular
357,Donald Trump: 'Time will tell' who will be in the White House in January | World News | Sky News https://t.co/z0CXjwnIbY,1,0,0,[1 0 0],regular
358,"🇺🇸❤️ #bidenharris2020 #fucktrump @ Naples, Italy https://t.co/Uq32FezAPe",0,1,0,[0 1 0],regular
359,"You’re fired @realDonaldTrump
Congrats @JoeBiden &amp; @KamalaHarris for this winning.Hope India-USA relation stronger than before.Great news for every Indian 1st time in American history that a Indian descent is going to be VP
#POTUS46
#ByeByeTrump
#BidenHarris2020
#USAelection2020 https://t.co/aSD5X4ghrY",0,1,0,[0 1 0],regular
360,"@climate @business Biden should contract the most experienced professional priest to exorcise The White House expelling from it all the negative energy &amp; evil spirits that live there and which were brought by the corrupt Trump family.
@thenewyorker @Reuter @wsj @fbi @SecretService @USNavy @Rotary",0,0,1,[0 0 1],regular
361,"Thanks to #Biden, â€œcalling it a lidâ€ is now in my and my friendsâ€™ conversational dictionary. ðŸ˜…",0,1,0,[0 1 0],regular
362,"🇺🇸 Congratulation 🇺🇸 

Next is better for the United States of America   #بايدن_فاز #بايدن #Biden #USAelection2020 https://t.co/XBpvF2hDaL",0,1,0,[0 1 0],regular
363,"#Saudi foreign minister confident #Biden administration will pursue regional stability
https://t.co/CUt8UECicQ",0,1,0,[0 1 0],regular
364,TRUMP´S “THE FLY“ https://t.co/wwQ4BerARo via @YouTube,0,0,1,[0 0 1],regular
365,"Neither #Biden nor #Trump will fix the problem of our country and our crisis, we must learn that we will not get anywhere alone.
@IvankaTrump 
@realDonaldTrump 
@POTUS 
@JoeBiden 
@KamalaHarris 
@SenKamalaHarris 
#BidenHarris2020
#Trump",0,0,1,[0 0 1],regular
366,"@GoOilers_17 @JeffreyGoldberg @BarackObama @TheAtlantic He'd probably dismiss the existence of a Trump epistemology tape as ""fake news""...",0,1,0,[0 1 0],regular
367,I ain’t settling for Biden and I ain’t voting for racism,1,0,0,[1 0 0],regular
368,@EddieZipperer @realDonaldTrump @AriFleischer Donald trump hi https://t.co/zeHPBZfllZ,0,0,1,[0 0 1],regular
369,"@CullhajMajlinda @ediramaal @JoeBiden @erionveliaj I wouldn't know, he blocked me ðŸ˜…",0,0,1,[0 0 1],regular
370,#ByeTrump see u in hell #bolsonaroéopróximo https://t.co/FcEm5us2c9,0,1,0,[0 1 0],regular
371,@SteveDoocy I inhale Peppermint &amp; Lavender Essential Oils every morning to treat my 50+ years of SEASONAL ALLERGIES. Excellent Results without using drugs/medications or side effects! HAPPY BIRTHDAY STEVE!!! 🎊🎉 #Trump2020,0,0,1,[0 0 1],regular
372,"#MAGA  got this?
#ProLifeVoicesForTrump 
#ProLife 
YOU QUITE AWARE WHAT THE Prez is touting?😂🤣 https://t.co/w0oxZPL5eV",1,0,0,[1 0 0],regular
373,@codepink @JoeBiden Please provide definitive proof instead of unfounded accusations. Once again Code Pink fanning the flames of hate towards Israel by accusing without actual proof,1,0,0,[1 0 0],regular
374,"#Trump can no longer go to the White House because it's forBIDEN. 😂

#ByeByeTrump #Election2020results #BidenHarris2020 #PresidentElectJoe",0,1,0,[0 1 0],regular
375,"Believe in something. Even if it means sacrificing everything. 

#Trump2020 #MAGA https://t.co/2Q8Ap04R8l",1,0,0,[1 0 0],regular
376,"Assuming Biden wins, I vow that never in response to a legit complaint about the Biden admin will I, â€œYah but Trump...â€",0,1,0,[0 1 0],regular
377,"Serving up patriotic beauty for your enjoyment by voting today!
#VoteEarlyDay 
#vote
#VoteBlue https://t.co/KUzi2UqKjq",0,1,0,[0 1 0],regular
378,@JoeBiden Bitch,1,0,0,[1 0 0],regular
379,Decency will come back !!! #Biden @JoeBiden I wish that in the Philippines too... #GisingPinas,0,1,0,[0 1 0],regular
380,How good does a story have to be for this detail to be relegated from the lede! #hunterbiden https://t.co/3dgp0ueB1K,1,0,0,[1 0 0],regular
381,"“I’m voting for Donald Trump. My father is a Union Worker and his 401K has tripled under President Trump.” USA Voter. Fox and Friends - Thank you, and remember that the Stock Market is getting ready to break its all time high. NEXT YEAR WILL BE THE BEST EVER. VOTE, VOTE, VOTE!!!!",1,0,0,[1 0 0],regular
382,"And if you haven't had enough ""Asia takes"" ðŸ˜… here's another by me today, wrapping in what former US envoys and other US-Asia experts are saying as well wishes poured in for Joe Biden and Kamala Harris. 

https://t.co/Uv8sSDQKX2",0,0,1,[0 0 1],regular
383,Postal worker charged after absentee ballots found in dumpster https://t.co/mfOpRlEME9,0,0,1,[0 0 1],regular
384,CONGRATULATIONS @JoeBiden  #ByeByeTrump,0,1,0,[0 1 0],regular
385,"Kind reminder to my friends in America: mail-in voters, please ensure your vote has been counted and is all good!",0,0,1,[0 0 1],regular
386,Oooooooh.........he's got a War Room now !!!!#trump #potus https://t.co/NjVv3Q9lrl,0,0,1,[0 0 1],regular
387,BREAKING NEWS! #JoeBiden has been ELECTED PRESIDENT in a controversial election south of the border. He earned 284 electoral votes. The win also makes #KamalaHarris the first female Vice President in US history. https://t.co/A0XvT9cLaL,0,1,0,[0 1 0],regular
388,Canada anticipating the results of the #USElection2020 #JoeBiden #JoeBidenKamalaHarris2020 #DonaldTrump #USA #Canada https://t.co/YJPxmRelXV,0,0,1,[0 0 1],regular
389,Where’s Olivia Pope ? Is she #TeamBiden #TeamTrump #Scandal #USElections2020 https://t.co/PlPhHvk2wQ,0,0,1,[0 0 1],regular
390,Trump virou no Texas! #Trump2020,0,1,0,[0 1 0],regular
391,"@NARAL It’s illegitimate. Biden needs to reform, expand and make SCOTUS legitimate again.",0,1,0,[0 1 0],regular
392,@FabiTaub Steak trump 😎,1,0,0,[1 0 0],regular
393,@Bronx11716248 @globalnews Lol there is a pile of paper. It must be navy ballots. This video is nothing.,0,0,1,[0 0 1],regular
394,"Joe biden wasn't nt joking when He said he didn't need people's votes to get elected.

Joe biden must spend his time in jail because of fraud
#BidenInPrision
#maga
#TRUMP2020ToSaveAmerica
#CountEveryLegalVote
#GivebackTrumpvotes
#fraud

#انتخابات_آمریکا
#تقلب_دموکراتها",1,0,0,[1 0 0],regular
395,I am sick of losing sleep over this mess. The election is over and @JoeBiden won. https://t.co/IvqWHctJHW,0,1,0,[0 1 0],regular
396,At least it’s good for entertainment value #Trump2020 #MAGA,0,0,1,[0 0 1],regular
397,"@Kjtandsons @world_of_pop_ @JoeBiden @realDonaldTrump That’s not the point, the point is those unregistered mailed ballots must be removed and shouldn’t count, it’s not so complicated. We heard about about 300.000 votes like this.",0,0,1,[0 0 1],regular
398,"#PTIGovernment 
It's a reality...
#ByeByeTrump 
#SundayThoughts https://t.co/RT34UxTeEq",0,1,0,[0 1 0],regular
399,The difference between @JoeBiden articulate and positive tweets no matter the outcome and @realDonaldTrump insane angry childlike keyboard bashing today is astonishing. How 68 million Americans have voted for this mad man is unbelievable! #Election2020 #CountEveryVote,0,1,0,[0 1 0],regular
400,"This damn election is still happening? America has the longest fucking elections history, the shit is just a constant loop of election news. The perpetual election. It won't be Monday before they talking about which Trump kid will avenge daddy in 2024",0,0,1,[0 0 1],regular
401,"@JoeBiden The people of Iran are happy with this choice with you,
We are tired of politics and we want to live a life,We all live in a small global village and one person's happiness and sadness are effective in the sorrow and happiness of the whole world, so bring happiness back",0,1,0,[0 1 0],regular
402,"@realDonaldTrump I don't know why he hates Trump, he is our president and oh, accept him, the protesters are causing more damage than what they say Trump is and he's my favorite president apart from Obama, but the truth is, Trump is the best president I've ever seen",1,0,0,[1 0 0],regular
403,It’s officially Election Day and I need tips on how to make it through the day without exploding from anxiety #VoteHimOut https://t.co/DqeVr8ae3O,0,1,0,[0 1 0],regular
404,"@maya_jaramillo @JoeBiden @KamalaHarris You must have experienced something same, as you seems to be still high, you posted such cheap thrills.. Learn to live without Trump #ByeByeTrump #bidenharis2020 #USElections2020",0,0,1,[0 0 1],regular
405,"Trump or Biden? The US Election &amp; What It Means For Taiwan
#Trump #Biden #Election2020 #ElectionDay #Elections2020 #Taiwan @MOFA_Taiwan @TECRO_USA @TECOinSeattle @TaitraLondon @DubaiTaiwan #DonaldTrump #JoeBiden #Taiwanese #China 
 https://t.co/4y3oDdHQVI via @TheTaiwanTimes",0,0,1,[0 0 1],regular
406,"@teabiotique @cesarmvm They believed that Biden is Socialist LMAO.

The Que - Que - Que strikes again. https://t.co/NUIfLx3lSg",0,0,1,[0 0 1],regular
407,"Congratulations for the presidency and vicepresidency @JoeBiden and @KamalaHarris. Many hopes are in you, not only in the US, but all over the world. PEACE, TOLERANCE AND HUMAN RIGHTS! #MakeAmericaGreatAgain",0,1,0,[0 1 0],regular
408,@realDonaldTrump I wish I could be there among all those thousands of people out there protesting for our constitutional rights #VoteTrump2020toSaveAmerica #TeamTrump #MakeAmericaGreatAgain,1,0,0,[1 0 0],regular
409,I just hope Trump x Biden battle last longer so the dollar keeps going down! YES IM SELFISH AND IM THINKING ABOUT MY JOB AND ONLY GOD CAN JUDGE ME,0,0,1,[0 0 1],regular
410,"@TheDarkestMavis @SAKimFoxx I haven’t received my ballot yet!

#Fraud #HUGEFraud #StolenElection #USPSdunit",1,0,0,[1 0 0],regular
411,@realDonaldTrump hope you do it sir. Watching from the UK you’re the best this that’s happened to the US since UK let you have the country. Need to come to Savannah for a Gulfstream #canyouhelp #MakeAmericaGreatAgain,1,0,0,[1 0 0],regular
412,@CBCAlerts CBC idiots doing their job😂 #Trump2020 #MAGA2020LandslideVictory Fvck communist.! https://t.co/Y3mF0LHH7v,1,0,0,[1 0 0],regular
413,"Young people will inherit this country from corrupt old fuckers who donâ€™t give a shit about you or this country,time to take the reins and vote blue https://t.co/9j2VGK1ugy",0,1,0,[0 1 0],regular
414,"@StephenOld @RebetikoWalrus @LeaveEUOfficial @DouglasKMurray @realDonaldTrump @JoeBiden We said the banks would leave and the banks said they would leave we are reaping what we sowed
Sadly these jobs were not  lost we threw them away and they will never come back",0,0,1,[0 0 1],regular
415,@JoeBiden Merry Christmas! Happy New Year ❤️,0,0,1,[0 0 1],regular
416,"Just mailed my US absentee ballot express from Israel.

Never been more excited to vote. 

#Election2020  #IVoted",0,0,1,[0 0 1],regular
417,What the fuckin hell is #Biden even rambling on about. He truly is making no sense at times. Kinda scary. #PresidentialDebate2020 #trump,1,0,0,[1 0 0],regular
